Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1,""C_0603"",""C_0603_1608Metric"",141.000000,-71.775000,90.000000,top"
"C2,""C_0402"",""C_0402_1005Metric"",144.225000,-73.255000,90.000000,top"
"C3,""C_0603"",""C_0603_1608Metric"",146.725000,-71.775000,90.000000,top"
"C4,""C_0402"",""C_0402_1005Metric"",149.225000,-73.775000,90.000000,top"
"C5,""C_0603"",""C_0603_1608Metric"",151.500000,-71.275000,90.000000,top"
"C6,""C_0402"",""C_0402_1005Metric"",155.000000,-70.500000,90.000000,top"
"Q1,""AO3401A"",""SOT-23"",162.062500,-73.000000,0.000000,top"
"Q5,""AO3401A"",""SOT-23"",144.062500,-65.500000,0.000000,top"
"Q6,""AO3401A"",""SOT-23"",121.562500,-72.500000,0.000000,top"
"R1,""R_0603"",""R_0603_1608Metric"",156.325000,-56.000000,0.000000,top"
"R2,""R_0603"",""R_0603_1608Metric"",131.825000,-59.000000,180.000000,top"
"R3,""R_0402"",""R_0402_1005Metric"",159.500000,-77.500000,180.000000,top"
"R4,""R_0805"",""R_0805_2012Metric"",139.000000,-64.500000,0.000000,top"
"R5,""R_0402"",""R_0402_1005Metric"",140.000000,-67.500000,90.000000,top"
"R6,""R_0805"",""R_0805_2012Metric"",136.000000,-55.500000,0.000000,top"
"R7,""R_0805"",""R_0805_2012Metric"",119.412500,-68.000000,180.000000,top"
"R8,""R_0402"",""R_0402_1005Metric"",117.010000,-72.500000,90.000000,top"
"R9,""R_0805"",""R_0805_2012Metric"",128.500000,-69.500000,180.000000,top"
"R12,""R_0805"",""R_0805_2012Metric"",153.412500,-65.000000,0.000000,top"
"R13,""R_0603"",""R_0603_1608Metric"",169.000000,-72.000000,0.000000,top"
"R14,""R_0805"",""R_0805_2012Metric"",157.087500,-74.000000,0.000000,top"
